date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-12-14,1141000,357292,1118,031.32 %,330362,3954,028.96 %
2021-12-15,1141000,358300,1008,031.40 %,333538,3176,029.23 %
2021-12-16,1141000,359199,899,031.48 %,336546,3008,029.50 %
2021-12-17,1141000,360082,883,031.56 %,340107,3561,029.81 %
2021-12-18,1141000,360610,528,031.61 %,341659,1552,029.95 %
2021-12-19,1141000,360765,155,031.62 %,342618,959,030.03 %
2021-12-20,1141000,361625,860,031.70 %,345687,3069,030.30 %
2021-12-21,1141000,362691,1066,031.79 %,348717,3030,030.57 %
2021-12-22,1141000,363481,790,031.86 %,351608,2891,030.82 %
2021-12-23,1141000,364647,1166,031.96 %,354264,2656,031.05 %
2021-12-24,1141000,366120,1473,032.09 %,356986,2722,031.29 %
2021-12-25,1141000,366272,152,032.10 %,357900,914,031.37 %
2021-12-26,1141000,366447,175,032.12 %,358730,830,031.44 %
2021-12-27,1141000,366625,178,032.13 %,359875,1145,031.54 %
2021-12-28,1141000,367478,853,032.21 %,363271,3396,031.84 %
2021-12-29,1141000,369249,1771,032.36 %,365144,1873,032.00 %
2021-12-30,1141000,369810,561,032.41 %,367401,2257,032.20 %
2021-12-31,1141000,370531,721,032.48 %,368449,1048,032.29 %
2022-01-01,1141000,370531,,032.48 %,368449,,032.29 %
2022-01-02,1141000,370531,,032.48 %,368449,,032.29 %
2022-01-03,1141000,370975,444,032.52 %,369203,754,032.36 %
2022-01-04,1141000,372193,1218,032.62 %,371420,2217,032.55 %
2022-01-05,1141000,373788,1595,032.76 %,373518,2098,032.74 %
2022-01-06,1141000,374666,878,032.84 %,374814,1296,032.85 %
2022-01-07,1141000,374666,,032.84 %,374814,,032.85 %
2022-01-08,1141000,374975,309,032.87 %,375415,601,032.91 %
2022-01-09,1141000,375219,244,032.89 %,375924,509,032.95 %
2022-01-10,1141000,377376,2157,033.08 %,377335,1411,033.07 %
2022-01-11,1141000,378879,1503,033.21 %,378632,1297,033.19 %
2022-01-12,1141000,380562,1683,033.36 %,380300,1668,033.33 %
2022-01-13,1141000,381878,1316,033.47 %,381521,1221,033.44 %
2022-01-14,1141000,383409,1531,033.61 %,382719,1198,033.55 %
2022-01-15,1141000,383780,371,033.64 %,382986,267,033.57 %
2022-01-16,1141000,384305,525,033.68 %,383376,390,033.60 %
2022-01-17,1141000,385873,1568,033.82 %,384581,1205,033.71 %
2022-01-18,1141000,387209,1336,033.94 %,385699,1118,033.81 %
2022-01-19,1141000,388447,1238,034.05 %,386877,1178,033.91 %
2022-01-20,1141000,389472,1025,034.14 %,388009,1132,034.01 %
2022-01-21,1141000,390686,1214,034.24 %,388991,982,034.10 %
2022-01-22,1141000,391106,420,034.28 %,389421,430,034.13 %
2022-01-23,1141000,391504,398,034.32 %,389933,512,034.18 %
2022-01-24,1141000,392750,1246,034.42 %,391268,1335,034.29 %
2022-01-25,1141000,393655,905,034.50 %,392300,1032,034.39 %
2022-01-26,1141000,394931,1276,034.62 %,393778,1478,034.51 %
2022-01-27,1141000,395983,1052,034.71 %,394874,1096,034.61 %
2022-01-28,1141000,396894,911,034.79 %,395745,871,034.69 %
2022-01-29,1141000,397352,458,034.83 %,396171,426,034.72 %
2022-01-30,1141000,397764,412,034.86 %,396573,402,034.76 %
2022-01-31,1141000,398758,994,034.95 %,397538,965,034.84 %
2022-02-01,1141000,399808,1050,035.04 %,398555,1017,034.93 %
2022-02-02,1141000,400895,1087,035.14 %,399635,1080,035.03 %
2022-02-03,1141000,401913,1018,035.23 %,400657,1022,035.12 %
2022-02-04,1141000,402795,882,035.30 %,401546,889,035.20 %
2022-02-05,1141000,403320,525,035.35 %,402063,517,035.24 %
2022-02-06,1141000,403887,567,035.40 %,402574,511,035.29 %
2022-02-07,1141000,405067,1180,035.50 %,403703,1129,035.38 %
2022-02-08,1141000,406133,1066,035.60 %,404784,1081,035.48 %
2022-02-09,1141000,407069,936,035.68 %,405667,883,035.56 %
2022-02-10,1141000,407843,774,035.75 %,406667,1000,035.64 %
2022-02-11,1141000,408836,993,035.83 %,407630,963,035.73 %
2022-02-12,1141000,409442,606,035.89 %,408136,506,035.77 %
2022-02-13,1141000,409752,310,035.91 %,408804,668,035.83 %
2022-02-14,1141000,410694,942,036.00 %,409563,759,035.90 %
2022-02-15,1141000,411641,947,036.08 %,410410,847,035.97 %
2022-02-16,1141000,412224,583,036.13 %,410841,431,036.01 %
2022-02-17,1141000,413437,1213,036.24 %,412185,1344,036.13 %
2022-02-18,1141000,414425,988,036.32 %,413169,984,036.21 %
2022-02-19,1141000,414908,483,036.37 %,413620,451,036.25 %
2022-02-20,1141000,415443,535,036.41 %,414126,506,036.30 %
2022-02-21,1141000,416419,976,036.50 %,415055,929,036.38 %
2022-02-22,1141000,417351,932,036.58 %,415871,816,036.45 %
2022-02-23,1141000,418273,922,036.66 %,416811,940,036.53 %
